,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
30,51.07345,11.92716,3.45437,61.7975,47.5326,48.61119,50.25731,52.54126,56.26779,8.73519,5.53918,4.02562,2.01015,14.367,3.898,4.267,4.8205,5.967,8.559,4.661,1.56774,0.33073,0.57511,4.03069,1.09479,1.17685,1.36936,1.82272,2.28932,1.19452,1.52633,0.04261,0.2068,2.1591,1.31258,1.37315,1.46978,1.64125,1.84398,0.5314,0.02827,0.0003,0.01725,0.07324,0.00861,0.01229,0.0263,0.04026,0.05095,0.04235,0.06384,0.00553,0.0745,0.43668,0,0,0.04566,0.09394,0.16971,0.16971,31
31,48.93288,6.81146,2.61048,58.08169,45.85126,46.69722,48.54598,50.84956,52.40528,6.55402,5.06392,1.97592,1.4083,12.486,3.8565,4.1035,4.647,5.688,6.475,2.6185,1.52725,0.42466,0.65168,3.94121,1.06151,1.12898,1.31259,1.61697,2.33625,1.27474,1.71329,0.10618,0.32646,3.47952,1.53953,1.56373,1.60522,1.66947,2.08216,0.54263,0.03048,0.0004,0.02007,0.06411,0.00644,0.0121,0.0271,0.04901,0.05998,0.05355,0.03304,0.00134,0.03663,0.17594,0,0,0.02876,0.056,0.07984,0.07984,32
32,55.26549,7.04079,2.65406,61.2225,52.35165,52.81715,54.49762,57.37453,59.23549,6.88385,7.64764,1.84287,1.36006,11.369,6.23,6.4895,7.2245,8.556,9.37,3.14,1.48518,0.02455,0.15669,1.81784,1.33858,1.39091,1.45681,1.57958,1.6961,0.35752,1.70756,0.00582,0.07643,1.94243,1.62001,1.65273,1.69119,1.75504,1.82829,0.20828,0.01138,0.00036,0.01889,0.0711,0.00221,0.00246,0.00294,0.00546,0.04887,0.04666,0.03259,0.00106,0.03257,0.14628,0,0,0.02955,0.05534,0.07573,0.07573,33
33,52.00453,0.85468,0.9247,56.74791,51.05542,51.49002,51.92597,52.35391,52.89957,1.84415,6.48358,0.37371,0.61246,9.29,5.7105,6.1155,6.4635,6.871,7.28,1.5695,1.28578,0.01595,0.12631,1.55199,1.19009,1.25239,1.29055,1.34123,1.39102,0.20093,1.79002,0.00827,0.09113,2.14724,1.68427,1.73144,1.78023,1.84189,1.91009,0.22583,0.01534,0.00026,0.01616,0.06765,0.00542,0.00621,0.00814,0.01755,0.0457,0.04028,0.07794,0.00316,0.0563,0.33561,0,0.03688,0.07151,0.1146,0.145,0.145,34
34,36.57296,3.49414,1.8697,40.69565,33.78913,35.14102,36.99553,38.01564,38.77568,4.98655,1.85138,0.1134,0.33737,2.767,1.364,1.5735,1.9165,2.088,2.228,0.864,0.29809,0.0425,0.20617,0.69733,0.03554,0.11651,0.25807,0.47227,0.5799,0.54437,1.59398,0.00784,0.08873,1.84272,1.49505,1.53671,1.58999,1.65578,1.71045,0.2154,0.00742,0.00008,0.0089,0.03171,0.00189,0.00232,0.00358,0.00534,0.02507,0.02319,0.05524,0.00306,0.05539,0.37611,0,0,0.04852,0.08318,0.12214,0.12214,35
35,34.8243,1.34454,1.15981,38.30399,33.24939,33.86931,34.86017,35.54525,36.38559,3.1362,1.54216,0.06178,0.24901,3.024,1.2535,1.3665,1.521,1.698,1.821,0.5675,0.10379,0.0125,0.11179,0.54097,0.00307,0.01764,0.06628,0.15879,0.27209,0.26902,1.5189,0.01781,0.1337,2.23119,1.38744,1.42719,1.49898,1.60097,1.68898,0.30154,0.00818,0.00014,0.01189,0.04795,0.00183,0.00216,0.00295,0.00494,0.03085,0.02902,0.03296,0.00171,0.0414,0.16168,0,0,0.01216,0.05681,0.09621,0.09621,36
36,54.74243,39.76255,6.30722,63.15503,46.40215,47.86935,56.19581,60.53378,62.13316,15.731,9.19554,20.65709,4.55351,16.86,4.022,4.329,10.0865,13.242,15.066,11.044,1.42975,0.18709,0.43255,2.11026,0.94073,0.99714,1.52772,1.83751,1.94077,1.00004,2.40552,0.60625,0.78008,3.67167,1.51288,1.58542,2.72035,3.09755,3.36783,1.85495,0.01809,0.00032,0.0178,0.06131,0.00356,0.00428,0.01032,0.02432,0.04897,0.04542,0.07318,0.00239,0.04899,0.23605,0.01281,0.03957,0.06626,0.103,0.1336,0.12079,37
37,16.81575,11.3242,3.36593,34.35201,14.13812,14.59494,15.49005,18.21661,21.26002,7.1219,0.05614,0.02368,0.15417,2.277,0.008,0.016,0.028,0.048,0.1045,0.0965,0,0,0,0,0,0,0,0,0,0,0.09917,0.11071,0.33336,2.68851,0,0,0,0,0.60669,0.60669,0.007,0.00004,0.00638,0.02168,0.00107,0.00121,0.00451,0.01021,0.01758,0.01651,0.02416,0.00812,0.09028,0.60532,0,0,0,0,0.00415,0.00415,38
38,63.12415,7.79352,2.79234,70.04649,59.6825,61.10935,62.91165,64.71994,67.39051,7.70801,12.92541,6.11531,2.47754,19.93,10.0365,11.229,12.6985,14.42,16.21,6.1735,1.73769,0.07089,0.26625,2.83193,1.47377,1.58138,1.72756,1.8525,1.98571,0.51194,2.04035,0.07777,0.27939,2.75125,1.66161,1.83366,2.01928,2.2375,2.40811,0.7465,0.0586,0.00045,0.02124,0.11579,0.04325,0.04922,0.05807,0.06686,0.08402,0.04076,0.1721,0.00798,0.08948,0.50396,0.0612,0.10628,0.16374,0.22399,0.28997,0.22877,39
39,36.09578,5.30779,2.3044,45.1399,33.93516,34.49012,35.53271,36.82157,38.66587,4.73071,1.57257,0.07517,0.27468,2.382,1.2545,1.352,1.52,1.7225,1.993,0.7385,0.13342,0.00967,0.09834,0.4527,0.0068,0.04541,0.12515,0.2095,0.26366,0.25686,1.35201,0.01974,0.14076,1.75719,1.15993,1.25463,1.34833,1.44283,1.52835,0.36842,0.00956,0.00016,0.0127,0.05034,0.00229,0.00294,0.00354,0.00723,0.0342,0.03191,0.06022,0.00503,0.07109,0.39888,0,0,0.0435,0.09227,0.14493,0.14493,40
