,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
32,59.54293,3.03314,1.74199,63.82149,57.53365,58.1906,59.36396,60.59247,62.11658,4.58292,10.34036,1.02369,1.01366,13.277,9.1355,9.659,10.125,10.909,11.916,2.7805,1.68781,0.00998,0.09988,1.90668,1.54264,1.61483,1.70622,1.75575,1.80288,0.26024,1.86008,0.00695,0.08354,2.09926,1.7647,1.79273,1.84184,1.92615,1.98014,0.21544,0.00409,0,0.00213,0.01068,0.00248,0.00308,0.00327,0.00363,0.00767,0.00519,0.06301,0.00279,0.05287,0.22939,0,0.01871,0.05826,0.09515,0.13624,0.13624,33
33,51.04141,6.46697,2.54361,62.65882,49.00556,49.63812,50.30061,51.4908,53.86632,4.86075,5.85024,2.52371,1.59158,19.23,4.9205,5.193,5.501,5.986,6.707,1.7865,1.30073,0.09162,0.3027,2.95924,1.13735,1.17129,1.22219,1.28103,1.44634,0.30899,1.73741,0.12742,0.35763,4.18918,1.55299,1.59053,1.6541,1.71611,1.90461,0.35162,0.01578,0.00007,0.0081,0.03408,0.00623,0.00839,0.01572,0.0208,0.02732,0.02108,0.07728,0.00319,0.0566,0.2816,0,0.03364,0.07405,0.10843,0.15785,0.15785,34
34,35.45641,4.96852,2.22954,46.76551,33.44246,34.38023,34.96946,35.64289,37.51824,4.07577,1.57402,0.09456,0.30807,4.002,1.3085,1.417,1.546,1.652,1.783,0.4745,0.11588,0.01478,0.12157,0.87553,0.01915,0.04331,0.07873,0.14828,0.26262,0.24347,1.56075,0.01252,0.11209,1.89494,1.43012,1.50779,1.55828,1.62019,1.69384,0.26371,0.00437,0.00002,0.00443,0.01696,0.00124,0.00176,0.00237,0.00425,0.0129,0.01166,0.07401,0.00488,0.07002,0.47237,0,0.02407,0.0643,0.10855,0.15863,0.15863,35
35,35.36105,0.80489,0.89737,37.85053,34.11841,34.70625,35.37764,35.95004,36.53763,2.41922,1.59817,0.03349,0.18336,2.133,1.3555,1.464,1.591,1.711,1.829,0.4735,0.1433,0.00722,0.08497,0.35445,0.02313,0.07394,0.14498,0.19545,0.26426,0.24114,1.48326,0.00892,0.09464,1.85433,1.36952,1.42054,1.4737,1.53497,1.60387,0.23435,0.00279,0,0.00133,0.00547,0.00149,0.0017,0.00228,0.00384,0.00499,0.0035,0.03135,0.00137,0.03706,0.1598,0,0,0.0215,0.05485,0.0828,0.0828,36
36,57.86168,26.79139,5.17724,64.91037,50.18516,51.62425,60.89594,61.79582,62.7109,12.52573,11.24608,16.07179,4.01644,18.53,5.987,6.52,13.245,14.363,15.5035,9.5165,1.67375,0.0877,0.29616,2.07165,1.2413,1.35361,1.8168,1.93195,1.98394,0.74264,2.62872,0.2988,0.54765,3.57667,1.8884,2.06237,2.82467,3.08278,3.28937,1.40097,0.00978,0.00002,0.00495,0.02392,0.00446,0.00583,0.00849,0.01271,0.01758,0.01311,0.07333,0.00208,0.04567,0.26406,0.0197,0.03986,0.06919,0.1032,0.13565,0.11595,37
37,16.64658,7.97309,2.82432,29.43848,14.22787,14.98726,16.01994,16.96057,19.99101,5.76314,0.08799,0.02117,0.14577,1.065,0.0185,0.029,0.043,0.082,0.191,0.1725,0,0,0,0,0,0,0,0,0,0,0.39425,0.75763,0.87204,3.00052,0,0,0,0,2.25871,2.25871,0.00518,0.00002,0.00494,0.02198,0.00171,0.00237,0.00337,0.00569,0.01253,0.01082,0.00403,0.00031,0.01756,0.12665,0,0,0,0,0,0,38
38,60.72685,3.44925,1.85765,65.40421,58.41006,59.20776,60.73843,62.06265,63.18414,4.77408,10.59079,2.04929,1.4342,14.268,8.773,9.513,10.62,11.697,12.4455,3.6725,1.48661,0.03522,0.18768,2.34073,1.25822,1.36842,1.48825,1.58959,1.68221,0.42399,1.79626,0.03483,0.18697,2.33576,1.56085,1.66486,1.77479,1.9313,2.05284,0.49199,0.0338,0.00008,0.00871,0.06056,0.0239,0.02818,0.03306,0.0372,0.04762,0.02372,0.20645,0.01164,0.10809,0.51667,0.0677,0.12596,0.19403,0.28235,0.35068,0.28298,39
39,38.10897,5.09101,2.25685,46.28145,35.96667,36.55514,37.50508,39.107,41.15671,5.19004,2.01911,0.46207,0.68102,5.402,1.491,1.597,1.801,2.198,2.795,1.304,0.37754,0.06222,0.24944,1.07095,0.13792,0.19974,0.2771,0.51683,0.77532,0.63741,1.44075,0.03976,0.19977,2.20066,1.24129,1.29321,1.38733,1.52665,1.75264,0.51135,0.009,0.00003,0.00581,0.02091,0.00368,0.00422,0.00645,0.01451,0.01887,0.01519,0.04817,0.00249,0.05002,0.27466,0,0,0.03735,0.07483,0.11724,0.11724,40
40,60.1625,3.85672,1.96431,64.8035,56.92169,59.27582,60.30642,61.18559,62.80066,5.87897,12.87246,3.58255,1.89629,18.14,10.471,11.707,12.883,13.893,15.1625,4.6915,2.26608,0.05094,0.2257,2.918,2.01866,2.10426,2.24895,2.41483,2.57576,0.5571,2.71699,0.05133,0.22698,3.41687,2.48782,2.56585,2.64485,2.85991,3.01501,0.52719,0.00531,0,0.0018,0.00832,0.00265,0.00351,0.00553,0.00682,0.00747,0.00482,0.01879,0.00064,0.02525,0.11874,0,0,0,0.03624,0.05921,0.05921,41
41,33.60445,4.5848,2.14171,39.77599,31.07555,31.88114,33.30466,35.09432,36.62325,5.54769,1.55392,0.15536,0.39489,2.799,1.096,1.228,1.503,1.871,2.0845,0.9885,0.04458,0.00276,0.05257,0.22964,0.00006,0.00366,0.02203,0.07112,0.12122,0.12116,2.92118,0.06614,0.25766,3.61729,2.57983,2.71156,2.94096,3.09645,3.25052,0.67069,0.00971,0.00002,0.00434,0.01848,0.00416,0.00557,0.00967,0.01267,0.01619,0.01203,0.06404,0.00435,0.0661,0.29276,0,0,0.04921,0.11195,0.15774,0.15774,42
