id,file_name,place,create_time,Leq,Pctn,陶模型判定,新模型输出,抽样,
2183,Record88781,M01,2021/11/11 17:46:43,51.9211,0.247023,3,3.99392,154,4
2184,Record88782,M01,2021/11/11 17:48:43,52.1155,0.29462,3,4.28875,155,5
2189,Record88787,M01,2021/11/11 17:58:43,51.2488,0.150358,3,4.39024,156,6
2190,Record88788,M01,2021/11/11 18:00:43,55.4265,0.282687,3,3.9052,157,7
2191,Record88789,M01,2021/11/11 18:02:43,53.2067,0.21648,3,3.9052,158,8
2193,Record88791,M01,2021/11/11 18:06:44,50.0529,0.115639,3,3.84802,159,9
2195,Record88793,M01,2021/11/11 18:10:43,50.1615,0.188431,3,4.39024,160,0
2196,Record88794,M01,2021/11/11 18:12:45,51.4266,0.155795,3,3.84802,161,1
2198,Record88796,M01,2021/11/11 18:16:43,50.1759,0.190536,3,4.39024,162,2
2199,Record88797,M01,2021/11/11 18:18:43,51.6752,0.224492,3,4.69262,163,3
2212,Record88811,M01,2021/11/11 18:46:44,50.6061,0.261462,3,4.69262,164,4
2221,Record88820,M01,2021/11/11 19:04:43,50.2593,0.239355,3,4.39024,165,5
2224,Record88823,M01,2021/11/11 19:10:44,50.7632,0.18262,3,4.39024,166,6
2227,Record88826,M01,2021/11/11 19:16:44,51.1993,0.113679,3,4.39024,167,7
2228,Record88828,M01,2021/11/11 19:20:43,52.6028,0.098252,3,4.39024,168,8
2229,Record88829,M01,2021/11/11 19:22:44,51.4643,0.116213,3,4.39024,169,9
2231,Record88831,M01,2021/11/11 19:26:43,52.5085,0.173698,3,4.39024,170,0
2232,Record88832,M01,2021/11/11 19:28:43,52.6361,0.084483,3,4.3769,171,1
2242,Record88842,M01,2021/11/11 19:48:43,50.0716,0.095925,3,4.39024,172,2
2284,Record88886,M01,2021/11/11 21:16:46,50.2894,0.14051,3,4.6319,173,3
2286,Record88888,M01,2021/11/11 21:20:46,51.3254,0.132045,3,4.6319,174,4
2658,Record89294,M01,2021/11/12 10:52:50,53.5026,0.353066,3,2.76453,175,5
2671,Record89307,M01,2021/11/12 11:18:51,53.9441,0.139512,3,4.6319,176,6
2677,Record89313,M01,2021/11/12 11:30:50,50.4479,0.260531,3,2.76453,177,7
2695,Record89332,M01,2021/11/12 12:08:51,56.4718,0.298766,3,2.76453,178,8
2700,Record89337,M01,2021/11/12 12:18:51,57.5033,0.09838,3,2.76453,179,9
2702,Record89339,M01,2021/11/12 12:22:52,54.7223,0.16081,3,2.76453,180,0
2777,Record89421,M01,2021/11/12 15:06:53,56.6273,0.219767,3,2.76453,181,1
2780,Record89424,M01,2021/11/12 15:12:53,53.1301,0.304384,3,2.76453,182,2
2783,Record89428,M01,2021/11/12 15:20:54,56.3762,0.287114,3,2.76453,183,3
2787,Record89432,M01,2021/11/12 15:28:54,52.7112,0.289794,3,2.76453,184,4
2809,Record89457,M01,2021/11/12 16:18:54,51.882,0.270882,3,3.96024,185,5
2823,Record89471,M01,2021/11/12 16:46:54,50.9635,0.439202,3,4.28875,186,6
2835,Record89485,M01,2021/11/12 17:14:56,52.7537,0.155071,3,2.76453,187,7
2836,Record89486,M01,2021/11/12 17:16:54,50.8516,0.527099,3,4.3769,188,8
2842,Record89492,M01,2021/11/12 17:28:55,52.6566,0.208973,3,4.3769,189,9
2852,Record89503,M01,2021/11/12 17:50:57,51.1553,0.070147,3,4.6319,190,0
2853,Record89504,M01,2021/11/12 17:52:56,52.5838,0.120166,3,4.6319,191,1
2896,Record89550,M01,2021/11/12 19:24:56,50.8759,0.034747,3,4.87117,192,2
2907,Record89562,M01,2021/11/12 19:49:01,50.7641,0.105596,3,4.6319,193,3
2909,Record89564,M01,2021/11/12 19:52:57,50.3089,0.214618,3,4.27217,194,4
2918,Record89574,M01,2021/11/12 20:12:57,52.3236,0.093937,3,4.17213,195,5
2925,Record89581,M01,2021/11/12 20:26:59,50.6785,0.150323,3,4.39024,196,6
2965,Record89625,M01,2021/11/12 21:54:58,50.5208,0.188642,3,3.99392,197,7
3264,Record89944,M01,2021/11/13 8:33:11,52.9512,0.488376,3,4.6319,198,8
3265,Record89945,M01,2021/11/13 8:35:11,54.9083,0.40514,3,2.76453,199,9
3268,Record89948,M01,2021/11/13 8:41:11,50.9573,0.558737,3,4.87117,200,0
3271,Record89951,M01,2021/11/13 8:47:12,61.251,0.135121,3,4.6319,201,1
3315,Record89997,M01,2021/11/13 10:19:14,50.305,0.351747,3,2.60909,202,2
3317,Record89999,M01,2021/11/13 10:23:14,50.1868,0.239022,3,3.62705,203,3
3318,Record90000,M01,2021/11/13 10:25:13,51.9056,0.231606,3,2.60909,204,4
3329,Record90012,M01,2021/11/13 10:49:14,53.4949,0.191352,3,2.76453,205,5
3463,Record90156,M01,2021/11/13 15:37:22,52.0873,0.28484,3,2.76453,206,6
3484,Record90178,M01,2021/11/13 16:21:24,59.9248,0.275824,3,2.76453,207,7
3770,Record90573,M01,2021/11/14 15:22:44,50.0622,0.358696,3,4.3769,208,8
3771,Record90575,M01,2021/11/14 15:26:46,50.8819,0.440231,3,4.3769,209,9
3794,Record90605,M01,2021/11/14 16:26:42,51.796,0.423577,3,4.6319,210,0
3799,Record90610,M01,2021/11/14 16:36:43,50.7515,0.559114,3,4.28875,211,1
3824,Record90638,M01,2021/11/14 17:32:42,50.3323,0.322569,3,4.6319,212,2
3828,Record90643,M01,2021/11/14 17:42:43,50.2663,0.184545,3,4.39024,213,3
3833,Record90648,M01,2021/11/14 17:52:43,50.4766,0.03716,3,4.6319,214,4
3940,Record90910,M01,2021/11/16 10:50:45,51.3412,0.141884,3,2.76453,215,5
3948,Record90919,M01,2021/11/16 11:08:45,54.2388,0.069301,3,2.76453,216,6
4107,Record91086,M01,2021/11/16 16:42:41,50.6258,0.63217,3,3.05455,217,7
4253,Record91240,M01,2021/11/16 21:50:42,50.1941,0.284544,3,3.99392,218,8
4550,Record91553,M01,2021/11/17 8:16:44,50.3695,0.655541,3,4.17213,219,9
4578,Record91583,M01,2021/11/17 9:16:44,51.6785,0.491983,3,4.79508,220,0
4585,Record91590,M01,2021/11/17 9:30:44,50.4012,0.392049,3,5.45289,221,1
4586,Record91591,M01,2021/11/17 9:32:44,51.4871,0.255794,3,5.20669,222,2
4589,Record91594,M01,2021/11/17 9:38:44,51.647,0.33415,3,3.3769,223,3
4590,Record91595,M01,2021/11/17 9:40:44,52.7449,0.291397,3,3.3769,224,4
4593,Record91598,M01,2021/11/17 9:46:44,52.8541,0.577265,3,6.03659,225,5
4644,Record91652,M01,2021/11/17 11:34:44,53.4438,0.112652,3,2.76453,226,6
4660,Record91669,M01,2021/11/17 12:08:45,50.2123,0.207643,3,2.76453,227,7
4668,Record91678,M01,2021/11/17 12:26:45,58.431,0.17048,3,4.6319,228,8
4671,Record91681,M01,2021/11/17 12:32:45,50.4154,0.20104,3,2.60909,229,9
4675,Record91685,M01,2021/11/17 12:40:45,56.1593,0.126672,3,4.6319,230,0
4682,Record91692,M01,2021/11/17 12:54:45,54.5139,0.269631,3,2.76453,231,1
4734,Record91748,M01,2021/11/17 14:46:46,50.4348,0.192973,3,5.34016,232,2
4737,Record91751,M01,2021/11/17 14:52:48,51.6629,0.152169,3,5.34016,233,3
4746,Record91760,M01,2021/11/17 15:10:46,50.0502,0.476484,3,4.69262,234,4
4748,Record91762,M01,2021/11/17 15:14:46,52.4896,0.369246,3,4.6319,235,5
4752,Record91766,M01,2021/11/17 15:22:46,50.9563,0.250485,3,5.34016,236,6
4754,Record91769,M01,2021/11/17 15:28:46,51.0494,0.192409,3,3.9052,237,7
4917,Record91938,M01,2021/11/17 21:06:49,50.1236,0.1222,3,4.00912,238,8
4922,Record91943,M01,2021/11/17 21:16:49,50.2071,0.171256,3,4.00912,239,9
4925,Record91946,M01,2021/11/17 21:22:49,50.3556,0.132649,3,4.00912,240,0
5232,Record92267,M01,2021/11/18 8:04:57,58.4607,0.367465,3,2.76453,241,1
5234,Record92269,M01,2021/11/18 8:08:57,50.2451,0.398517,3,2.76453,242,2
5239,Record92274,M01,2021/11/18 8:18:58,57.8151,0.375138,3,4.28875,243,3
5249,Record92284,M01,2021/11/18 8:38:58,53.5378,0.277532,3,3.90769,244,4
5253,Record92288,M01,2021/11/18 8:46:58,50.7537,0.555924,3,4.00912,245,5
5254,Record92289,M01,2021/11/18 8:48:58,51.7964,0.336094,3,2.76453,246,6
5258,Record92293,M01,2021/11/18 8:56:58,51.2643,0.433331,3,2.76453,247,7
5297,Record92335,M01,2021/11/18 10:20:59,64.6103,0.101444,3,2.76453,248,8
5309,Record92349,M01,2021/11/18 10:49:00,57.1391,0.189028,3,2.76453,249,9
5313,Record92353,M01,2021/11/18 10:57:00,55.3085,0.387094,3,4.6319,250,0
5322,Record92362,M01,2021/11/18 11:15:00,50.8539,0.152027,3,4.6319,251,1
5324,Record92364,M01,2021/11/18 11:19:00,52.3744,0.356045,3,2.76453,252,2
5327,Record92367,M01,2021/11/18 11:25:00,55.4589,0.194964,3,3.05455,253,3
5349,Record92390,M01,2021/11/18 12:11:01,54.88,0.231678,3,4.3872,254,4
5404,Record92447,M01,2021/11/18 14:05:04,53.1652,0.270793,3,2.89344,255,5
5407,Record92450,M01,2021/11/18 14:11:04,58.3857,0.181241,3,2.76453,256,6
5436,Record92480,M01,2021/11/18 15:11:05,54.0907,0.336706,3,2.76453,257,7
5438,Record92482,M01,2021/11/18 15:15:05,57.2867,0.300979,3,2.76453,258,8
5475,Record92521,M01,2021/11/18 16:33:06,51.0717,0.465925,3,2.76453,259,9
